Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,228.270004,232.779999,211.179993,229.520004,229.520004,273642406
2018-09-07,229.559998,234.149994,213.830002,215.139999,215.139999,157745814
2018-09-08,215.139999,220.020004,190.080002,196.770004,196.770004,177137749
2018-09-09,196.770004,208.380005,185.009995,195.990005,195.990005,158079940
2018-09-10,195.990005,202.589996,186.919998,197.139999,197.139999,142204330
2018-09-11,197.130005,199.119995,175.960007,185.149994,185.149994,175106713
2018-09-12,185.149994,185.149994,167.600006,183.029999,183.029999,245547248
2018-09-13,183.029999,214.919998,183.029999,211.270004,211.270004,329648784
2018-09-14,211.270004,223.979996,202.800003,208.869995,208.869995,312268002
2018-09-15,208.869995,227.669998,208.380005,221.630005,221.630005,168167381
2018-09-16,221.619995,223.419998,207.899994,220.119995,220.119995,129504097
2018-09-17,220.119995,225.580002,192.509995,196.039993,196.039993,334881838
2018-09-18,196.039993,214.679993,194.000000,208.389999,208.389999,208223203
2018-09-19,208.389999,215.339996,197.429993,209.779999,209.779999,209614073
2018-09-20,209.779999,228.889999,206.970001,224.759995,224.759995,179337694
2018-09-21,224.759995,252.210007,221.250000,247.690002,247.690002,324152515
2018-09-22,247.690002,254.750000,233.009995,240.779999,240.779999,153989817
2018-09-23,240.779999,249.410004,237.240005,244.550003,244.550003,109358338
2018-09-24,244.550003,245.789993,225.100006,227.919998,227.919998,176162388
2018-09-25,227.919998,227.919998,202.899994,219.199997,219.199997,274370639
2018-09-26,219.199997,222.619995,207.309998,214.210007,214.210007,167260754
2018-09-27,214.210007,234.199997,210.050003,229.089996,229.089996,175768934
2018-09-28,229.089996,234.059998,214.970001,221.559998,221.559998,196588546
2018-09-29,221.559998,237.160004,213.330002,231.320007,231.320007,169490766
2018-09-30,231.320007,238.899994,226.139999,232.600006,232.600006,120465654
2018-10-01,232.600006,235.419998,224.539993,230.889999,230.889999,89553376
2018-10-02,230.899994,231.649994,222.429993,225.410004,225.410004,69760408
2018-10-03,225.419998,225.679993,214.979996,219.970001,219.970001,115425803
2018-10-04,219.970001,226.300003,219.009995,221.759995,221.759995,94094782
2018-10-05,221.759995,231.910004,219.059998,227.899994,227.899994,90777990
2018-10-06,227.899994,228.419998,222.820007,224.619995,224.619995,58388239
2018-10-07,224.619995,226.869995,220.750000,225.649994,225.649994,58001835
2018-10-08,225.649994,232.309998,223.649994,229.330002,229.330002,119060366
2018-10-09,229.330002,230.169998,226.080002,227.490005,227.490005,57089428
2018-10-10,227.490005,227.529999,222.630005,225.259995,225.259995,79427315
2018-10-11,225.259995,225.259995,186.880005,189.830002,189.830002,280686354
2018-10-12,189.830002,200.039993,188.429993,195.970001,195.970001,122749873
2018-10-13,195.970001,201.039993,195.410004,199.449997,199.449997,50575220
2018-10-14,199.449997,201.690002,192.669998,194.990005,194.990005,68812436
2018-10-15,194.990005,232.029999,192.880005,210.800003,210.800003,352120919
2018-10-16,210.800003,215.000000,207.779999,210.220001,210.220001,81883310
2018-10-17,210.220001,211.289993,205.490005,207.600006,207.600006,59192189
2018-10-18,207.600006,209.460007,200.389999,202.490005,202.490005,96947739
2018-10-19,202.490005,204.789993,200.979996,202.860001,202.860001,65604453
2018-10-20,202.860001,207.029999,201.759995,205.080002,205.080002,49096326
2018-10-21,205.080002,208.389999,203.809998,204.770004,204.770004,39862698
2018-10-22,204.770004,205.869995,202.449997,203.600006,203.600006,50598661
2018-10-23,203.600006,204.820007,200.509995,203.699997,203.699997,53645925
2018-10-24,203.699997,205.309998,202.440002,202.919998,202.919998,41210649
2018-10-25,202.929993,203.919998,199.789993,201.229996,201.229996,53009578
2018-10-26,201.229996,206.660004,200.460007,203.369995,203.369995,63803981
2018-10-27,203.369995,203.910004,201.649994,202.789993,202.789993,19658355
2018-10-28,202.789993,204.360001,202.500000,203.720001,203.720001,21150899
2018-10-29,203.729996,204.029999,193.940002,195.669998,195.669998,74963306
2018-10-30,195.669998,197.169998,194.199997,196.190002,196.190002,54237687
2018-10-31,196.220001,200.059998,192.449997,197.850006,197.850006,59872776
2018-11-01,197.850006,199.600006,197.169998,198.729996,198.729996,31093612
2018-11-02,198.729996,202.770004,198.729996,201.020004,201.020004,49194567
2018-11-03,201.020004,201.330002,197.520004,199.470001,199.470001,34164177
2018-11-04,199.470001,218.160004,198.610001,211.300003,211.300003,101844171
2018-11-05,211.309998,212.289993,206.779999,209.699997,209.699997,52562411
2018-11-06,209.699997,220.020004,208.160004,219.559998,219.559998,106555197
